note_id,part,start,end,global_start,global_end,duration,pitch_midi,pitch_name,velocity_realized,velocity,measure,beat,beatStrength,is_circulatio_dux,is_circulatio_comes,is_saltus,is_passus,is_stretto,is_melodic_dissonance
basso_20.0_22.0_3,Basso.,4.0,6.0,20.0,22.0,2.0,53.0,F3,0.4094645669291338,52.0,3,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
basso_22.0_25.0_3,Basso.,6.0,9.0,22.0,25.0,3.0,53.0,F3,0.4330629921259842,55.0,3,4.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0
basso_25.0_26.0_4,Basso.,1.0,2.0,25.0,26.0,1.0,50.0,D#3,0.7086600000000001,90.0,4,1.5,0.125,0.0,0.0,1.0,0.0,0.0,0.0
basso_26.0_27.0_4,Basso.,2.0,3.0,26.0,27.0,1.0,51.0,E-3,0.7086600000000001,90.0,4,2.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0
basso_27.0_28.0_4,Basso.,3.0,4.0,27.0,28.0,1.0,48.0,C3,0.7086600000000001,90.0,4,2.5,0.125,0.0,0.0,1.0,0.0,0.0,0.0
basso_28.0_31.0_4,Basso.,4.0,7.0,28.0,31.0,3.0,47.0,B#2,0.7086600000000001,90.0,4,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
basso_31.0_32.0_4,Basso.,7.0,8.0,31.0,32.0,1.0,48.0,C3,0.7086600000000001,90.0,4,4.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_32.0_34.0_5,Basso.,0.0,2.0,32.0,34.0,2.0,48.0,C3,0.7086600000000001,90.0,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
basso_34.0_38.0_5,Basso.,2.0,6.0,34.0,38.0,4.0,60.0,C4,0.7086600000000001,90.0,5,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_38.0_40.0_5,Basso.,6.0,8.0,38.0,40.0,2.0,59.0,B#3,0.7086600000000001,90.0,5,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_40.0_43.0_6,Basso.,0.0,3.0,40.0,43.0,3.0,60.0,C4,0.7086600000000001,90.0,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
basso_43.0_44.0_6,Basso.,3.0,4.0,43.0,44.0,1.0,55.0,G3,0.7086600000000001,90.0,6,2.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_44.0_45.0_6,Basso.,4.0,5.0,44.0,45.0,1.0,60.0,C4,0.7086600000000001,90.0,6,3.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0
basso_45.0_46.0_6,Basso.,5.0,6.0,45.0,46.0,1.0,57.0,A#3,0.7086600000000001,90.0,6,3.5,0.125,0.0,0.0,1.0,0.0,0.0,0.0
basso_46.0_47.0_6,Basso.,6.0,7.0,46.0,47.0,1.0,58.0,B-3,0.7086600000000001,90.0,6,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
basso_47.0_48.0_6,Basso.,7.0,8.0,47.0,48.0,1.0,60.0,C4,0.7086600000000001,90.0,6,4.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
basso_48.0_50.0_7,Basso.,0.0,2.0,48.0,50.0,2.0,61.0,D-4,0.7086600000000001,90.0,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
basso_50.0_52.0_7,Basso.,2.0,4.0,50.0,52.0,2.0,60.0,C4,0.7086600000000001,90.0,7,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
